"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"100","Ross","Dennis","-","-",NA,"-",NA,NA,"R","FL","FL-15",3,0
"101","Buchanan","Vern","-","-","-","-","-","-","R","FL","FL-16",6,0
"102","Rooney","Tom","-","-","-","-",NA,NA,"R","FL","FL-17",4,0
"103","Murphy","Patrick","+","+",NA,NA,NA,NA,"D","FL","FL-18",2,0
"104","Radel","Trey",NA,NA,NA,NA,NA,NA,"R","FL","FL-19",0,0
"105","Hastings","Alcee L.","+",NA,"+","+",NA,NA,"D","FL","FL-20",3,0
"106","Deutch","Ted","+","+","+","+","+","+","D","FL","FL-21,FL-22,FL-22",6,0
"107","Frankel","Lois","+","+","+","+","+","+","D","FL","FL-22,FL-21,FL-21",6,0
"108","Wasserman Schultz","Debbie",NA,"+","+","+","+","+","D","FL","FL-23",5,0
"109","Wilson","Frederica","+","+","+","+","+","+","D","FL","FL-24",6,0
"110","Díaz-Balart","Mario","-","-",NA,"-","-","-","R","FL","FL-25",5,0
"111","Garcia","Joe","+",NA,NA,NA,NA,NA,"D","FL","FL-26",1,0
"112","Ros-Lehtinen","Ileana","-","+",NA,"+",NA,NA,"R","FL","FL-27",3,1
"113","Kingston","Jack","-",NA,NA,NA,NA,NA,"R","GA","GA-01",1,0
"114","Bishop","Sanford D.","+","-","+","-","+","+","D","GA","GA-02",6,4
"115","Westmoreland","Lynn A.","-","-",NA,NA,NA,NA,"R","GA","GA-03",2,0
"116","Johnson","Hank","+","+","+","+","+","+","D","GA","GA-04",6,0
"117","Lewis","John R.","+","+","+","+","+",NA,"D","GA","GA-05",5,0
"118","Price","Tom","-","-",NA,NA,NA,NA,"R","GA","GA-06",2,0
"119","Woodall","Rob","-","-","-","-","-",NA,"R","GA","GA-07",5,0
"120","Scott","Austin","-","-","-","-","-","-","R","GA","GA-08",6,0
"121","Collins","Doug","-","-","-","-","-",NA,"R","GA","GA-09",5,0
"122","Broun","Paul C.","-",NA,NA,NA,NA,NA,"R","GA","GA-10",1,0
"123","Gingrey","Phil","-",NA,NA,NA,NA,NA,"R","GA","GA-11",1,0
"124","Barrow","John","-",NA,NA,NA,NA,NA,"D","GA","GA-12",1,0
"125","Scott","David","+","+","+","+","+","+","D","GA","GA-13",6,0
"126","Graves","Tom","-","-","-","-","-",NA,"R","GA","GA-14",5,0
"127","Hanabusa","Colleen","+",NA,"+",NA,NA,NA,"D","HI","HI-01",2,0
"128","Gabbard","Tulsi","+","+","+","+","+",NA,"D","HI","HI-02",5,0
"129","Labrador","Raul","-","-","-","-",NA,NA,"R","ID","ID-01",4,0
"130","Simpson","Mike","-","-","-","-","-","-","R","ID","ID-02",6,0
"131","Rush","Bobby L.",NA,"+","+","+","+","+","D","IL","IL-01",5,0
"132","Kelly","Robin","+","+","+","+","+","+","D","IL","IL-02",6,0
"133","Lipinski","Dan","+","+","+","+","+",NA,"D","IL","IL-03",5,0
"134","Gutierrez","Luis V.","+","+","+","+",NA,NA,"D","IL","IL-04",4,0
"135","Quigley","Mike","+","+","+","+","+","+","D","IL","IL-05",6,0
"136","Roskam","Peter J.","-","-","-","+",NA,NA,"R","IL","IL-06",4,1
"137","Davis","Danny K.","+","+","+","+","+","+","D","IL","IL-07",6,0
"138","Duckworth","Tammy","+","+",NA,NA,NA,NA,"D","IL","IL-08",2,0
"139","Schakowsky","Jan","+","+","+","+","+","+","D","IL","IL-09",6,0
"140","Schneider","Brad","+",NA,"+","+","+","+","D","IL","IL-10",5,0
"141","Foster","Bill","+","+","+","+","+","+","D","IL","IL-11",6,0
"142","Enyart","Bill","+",NA,NA,NA,NA,NA,"D","IL","IL-12",1,0
"143","Davis","Rodney","-","-","-","-","-","-","R","IL","IL-13",6,0
"144","Hultgren","Randy","-","-","-","-",NA,NA,"R","IL","IL-14",4,0
"145","Shimkus","John M.","-","-","-","-","-",NA,"R","IL","IL-15",5,0
"146","Kinzinger","Adam","-","-","-","-","-","-","R","IL","IL-16",6,0
"147","Bustos","Cheri","+","+","+","+","+","+","D","IL","IL-17",6,0
"148","Schock","Aaron","-",NA,NA,NA,NA,NA,"R","IL","IL-18",1,0
"149","Visclosky","Peter J.","+","+","+","+","+",NA,"D","IN","IN-01",5,0
"150","Walorski","Jackie","-","-","-","-","-","-","R","IN","IN-02",6,0
"151","Stutzman","Marlin","-","-",NA,NA,NA,NA,"R","IN","IN-03",2,0
"152","Rokita","Todd","-","-","-","-",NA,NA,"R","IN","IN-04",4,0
