member_id,first_name,last_name,party,state,name.x,member,alias,name.y
NA,Ron,DeSantis,R,FL,ron desantis,NA,NA,NA
NA,Ron,Kind,D,WI,ron kind,NA,NA,NA
NA,Rosa,DeLauro,D,CT,rosa delauro,NA,NA,NA
NA,Rubén,Hinojosa,D,TX,rub n hinojosa,NA,NA,NA
NA,Rush,Holt,D,NJ,rush holt,NA,NA,NA
NA,Sam,Farr,D,CA,sam farr,NA,NA,NA
NA,Sam,Graves,R,MO,sam graves,NA,NA,NA
NA,Sam,Johnson,R,TX,sam johnson,NA,NA,NA
NA,Sander,Levin,D,MI,sander levin,NA,NA,NA
NA,Sanford,Bishop,D,GA,sanford bishop,NA,NA,NA
NA,Scott,DesJarlais,R,TN,scott desjarlais,NA,NA,NA
NA,Scott,Garrett,R,NJ,scott garrett,NA,NA,NA
NA,Scott,Peters,D,CA,scott peters,NA,NA,NA
NA,Scott,Perry,R,PA,scott perry,NA,NA,NA
NA,Scott,Tipton,R,CO,scott tipton,NA,NA,NA
NA,Sean,Duffy,R,WI,sean duffy,NA,NA,NA
NA,Sean,Maloney,D,NY,sean maloney,NA,NA,NA
NA,Sheila,Jackson Lee,D,TX,sheila jackson lee,NA,NA,NA
NA,Shelley,Capito,R,WV,shelley capito,NA,NA,NA
NA,Spencer,Bachus,R,AL,spencer bachus,NA,NA,NA
NA,Steny,Hoyer,D,MD,steny hoyer,NA,NA,NA
NA,Stephen,Lynch,D,MA,stephen lynch,NA,NA,NA
NA,Stephen,Fincher,R,TN,stephen fincher,NA,NA,NA
NA,Stevan,Pearce,R,NM,stevan pearce,NA,NA,NA
NA,Steve,Chabot,R,OH,steve chabot,NA,NA,NA
NA,Steve,Cohen,D,TN,steve cohen,NA,NA,NA
NA,Steve,Daines,R,MT,steve daines,NA,NA,NA
NA,Steve,Israel,D,NY,steve israel,NA,NA,NA
NA,Steve,King,R,IA,steve king,NA,NA,NA
NA,Steve,Scalise,R,LA,steve scalise,NA,NA,NA
NA,Steve,Southerland,R,FL,steve southerland,NA,NA,NA
NA,Steve,Stivers,R,OH,steve stivers,NA,NA,NA
NA,Steve,Stockman,R,TX,steve stockman,NA,NA,NA
NA,Steve,Womack,R,AR,steve womack,NA,NA,NA
NA,Steven,Horsford,D,NV,steven horsford,NA,NA,NA
NA,Steven,Palazzo,R,MS,steven palazzo,NA,NA,NA
NA,Susan,Davis,D,CA,susan davis,NA,NA,NA
NA,Susan,Brooks,R,IN,susan brooks,NA,NA,NA
NA,Suzan,DelBene,D,WA,suzan delbene,NA,NA,NA
NA,Suzanne,Bonamici,D,OR,suzanne bonamici,NA,NA,NA
NA,Tammy,Duckworth,D,IL,tammy duckworth,NA,NA,NA
NA,Ted,Poe,R,TX,ted poe,NA,NA,NA
NA,Ted,Yoho,R,FL,ted yoho,NA,NA,NA
NA,Terri,Sewell,D,AL,terri sewell,NA,NA,NA
NA,Theodore,Deutch,D,FL,theodore deutch,NA,NA,NA
NA,Thomas,Petri,R,WI,thomas petri,NA,NA,NA
NA,Thomas,Rooney,R,FL,thomas rooney,NA,NA,NA
NA,Thomas,Massie,R,KY,thomas massie,NA,NA,NA
NA,Tim,Griffin,R,AR,tim griffin,NA,NA,NA
NA,Tim,Huelskamp,R,KS,tim huelskamp,NA,NA,NA
NA,Tim,Murphy,R,PA,tim murphy,NA,NA,NA
NA,Tim,Ryan,D,OH,tim ryan,NA,NA,NA
NA,Tim,Walberg,R,MI,tim walberg,NA,NA,NA
NA,Timothy,Bishop,D,NY,timothy bishop,NA,NA,NA
NA,Timothy,Walz,D,MN,timothy walz,NA,NA,NA
NA,Todd,Rokita,R,IN,todd rokita,NA,NA,NA
NA,Todd,Young,R,IN,todd young,NA,NA,NA
