"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"238","Rooney","Tom","FL","R","Florida",11500,0,0,1000,0,0
"239","Murphy","Patrick","FL","D","Florida",11400,0,0,0,25910,2000
"240","Hartzler","Vicky","MO","R","Missouri",11350,8200,8200,1000,0,7600
"241","Hunter","Duncan D","CA","R","California",11100,0,2000,0,3000,0
"242","Forbes","Randy","VA","R","Virginia",10500,0,5200,2000,0,0
"243","Kaptur","Marcy","OH","D","Ohio",10500,0,4000,3000,1000,8000
"244","Rice","Tom","SC","R","South Carolina",10500,1000,2000,2500,0,0
"245","Roby","Martha","AL","R","Alabama",10500,3600,5600,3000,0,0
"246","DelBene","Suzan","WA","D","Washington",10000,0,0,0,47301,1250
"247","Lowenthal","Alan","CA","D","California",10000,0,0,3000,9950,1000
"248","Schweikert","David","AZ","R","Arizona",10000,1000,8750,0,0,0
"249","Wittman","Rob","VA","R","Virginia",9950,0,0,3000,8500,0
"250","Huffman","Jared","CA","D","California",9900,0,0,9500,22550,950
"251","Miller","Gary","CA","R","California",9900,0,555,5200,0,0
"252","Clyburn","James E","SC","D","South Carolina",9500,0,1000,2000,2500,1750
"253","Meeks","Gregory","NY","D","New York",9100,0,0,2000,0,0
"254","Bishop","Sanford","GA","D","Georgia",9000,1000,6000,0,0,0
"255","Reichert","Dave","WA","R","Washington",8900,0,1500,5000,5000,7500
"256","Rangel","Charles B","NY","D","New York",8800,0,0,0,1000,0
"257","Amodei","Mark","NV","R","Nevada",8750,0,28000,2500,0,3000
"258","Carson","Andre","IN","D","Indiana",8750,0,0,0,0,0
"259","Larson","John","CT","D","Connecticut",8600,3000,3000,6100,2700,1000
"260","Johnson","Eddie Bernice","TX","D","Texas",8570,0,0,3500,1000,1000
"261","Neal","Richard E","MA","D","Massachusetts",8500,0,0,4000,0,1000
"262","Rush","Bobby","IL","D","Illinois",8500,0,0,1000,2000,5000
"263","Doggett","Lloyd","TX","D","Texas",8150,0,0,0,4250,4250
"264","Frelinghuysen","Rodney","NJ","R","New Jersey",8050,2000,2000,3000,0,500
"265","Andrews","Robert E","NJ","D","New Jersey",8000,0,0,0,0,0
"266","Becerra","Xavier","CA","D","California",8000,0,0,2500,4000,1000
"267","Kennedy","Joe III","MA","D","Massachusetts",7800,0,0,7800,20000,750
"268","Garcia","Joe","FL","D","Florida",7650,0,0,1000,29913,4250
"269","Hanabusa","Colleen","HI","D","Hawaii",7600,0,0,0,0,5500
"270","Conyers","John Jr","MI","D","Michigan",7500,0,0,0,595,0
"271","Crenshaw","Ander","FL","R","Florida",7500,0,0,0,0,0
"272","Dingell","John D","MI","D","Michigan",7500,0,0,1000,0,0
"273","Grimm","Michael","NY","R","New York",7500,0,2555,3000,0,0
"274","Kilmer","Derek","WA","D","Washington",7500,0,0,0,43767,4050
"275","Rogers","Mike D","AL","R","Alabama",7500,14450,14450,1000,0,0
"276","Visclosky","Pete","IN","D","Indiana",7500,1700,1700,0,0,0
"277","Luetkemeyer","Blaine","MO","R","Missouri",7250,2500,2500,4000,0,9500
"278","Maloney","Sean Patrick","NY","D","New York",7200,0,0,500,29150,3500
"279","Hanna","Richard","NY","R","New York",7100,0,0,3600,0,3500
"280","DeFazio","Peter","OR","D","Oregon",7000,0,0,1000,3140,500
"281","Higgins","Brian M","NY","D","New York",7000,0,0,5000,0,0
"282","Horsford","Steven","NV","D","Nevada",7000,0,19500,2500,13282,3250
"283","Van","Hollen Chris","MD","D","Maryland",7000,0,0,7000,7700,4250
"284","Yoho","Ted","FL","R","Florida",7000,0,0,0,0,0
"285","Bishop","Timothy H","NY","D","New York",6950,0,0,0,27825,7200
